receptor,train_type,mean_similarity,std_similarity,median_similarity,p95_similarity
PPARG,binder_train,0.09408780714016404,0.06340465181520033,0.08571428571428572,0.2
PPARG,antagonist_train,0.08406018254080486,0.06073569036056734,0.07526881720430108,0.1896551724137931
PPARG,agonist_train,0.09285274412118413,0.06356187593643368,0.08450704225352113,0.2
FXR,binder_train,0.08628812544775619,0.061423120295617716,0.0784313725490196,0.1896551724137931
FXR,antagonist_train,0.08568258554461583,0.06333324369009388,0.07692307692307693,0.1956521739130435
FXR,agonist_train,0.08543329518818661,0.06139529698457941,0.07692307692307693,0.19047619047619047
PXR,binder_train,0.08519679476150815,0.06228796273815129,0.07692307692307693,0.19387755102040816
PXR,agonist_train,0.08493859006644965,0.062213990913860026,0.07692307692307693,0.1935483870967742
GR,binder_train,0.08547585808600426,0.05890798947077592,0.078125,0.18
GR,antagonist_train,0.08358468710347143,0.06108516426948969,0.075,0.1875
GR,agonist_train,0.08379054692666495,0.05921024519987852,0.0759493670886076,0.18309859154929578
RXR,binder_train,0.08749837077869696,0.07075939167805026,0.07692307692307693,0.19444444444444445
RXR,agonist_train,0.08525349082294212,0.06296139255638886,0.07692307692307693,0.19444444444444445
ERB,binder_train,0.08493105103001047,0.059636481213269824,0.07692307692307693,0.18518518518518517
ERB,antagonist_train,0.08423631423030942,0.06002722674008084,0.07575757575757576,0.1875
ERB,agonist_train,0.08336044436710079,0.058874930684153684,0.075,0.18518518518518517
AR,binder_train,0.08389987797139435,0.05881022031789055,0.0759493670886076,0.18333333333333332
AR,antagonist_train,0.08301637082095932,0.05916694590075198,0.075,0.18421052631578946
AR,agonist_train,0.08361652534919872,0.05931844186237184,0.07547169811320754,0.18604651162790697
PPARD,binder_train,0.08791657377737248,0.06051147101418721,0.08,0.19101123595505617
PPARD,antagonist_train,0.08364842151997445,0.06045065540091618,0.075,0.1891891891891892
PPARD,agonist_train,0.08661567001046228,0.059992755952581044,0.07894736842105263,0.18840579710144928
PR,binder_train,0.08289875143911327,0.05999244077985414,0.075,0.18181818181818182
PR,antagonist_train,0.08401167391864514,0.06129083504968135,0.07547169811320754,0.1891891891891892
PR,agonist_train,0.0838428860594236,0.060837524623792986,0.07547169811320754,0.18867924528301888
ERA,binder_train,0.08487248829140517,0.059795243034519,0.07692307692307693,0.18446601941747573
ERA,antagonist_train,0.08467415485701575,0.06054534124860174,0.07692307692307693,0.1891891891891892
ERA,agonist_train,0.08383992952237404,0.05966799981621815,0.07547169811320754,0.1875
PPARA,binder_train,0.19929461541419424,0.08994060406953408,0.1797752808988764,0.3670886075949367
PPARA,agonist_train,0.2145150142281758,0.09537776961492211,0.19148936170212766,0.3953488372093023
